Restaurant,Area,Address,Postcode,Website,Private Dining Email,General Email,Email Notes,Email Source,Phone,Cuisine,Michelin / Accolades,Chef,Speciality,Signature Dishes,Menu URL,Menu Summary,Price Range,Price Min (£pp),Price Max (£pp),Popularity (0-100),Private Dining,Seated Capacity,Min Guests,Max Guests,Standing Capacity,Fits 15-20?,Instagram,Cover Image,Photos,Notes
Hide,Mayfair / Piccadilly,"85 Piccadilly, London W1J 7NB",W1J 7NB,https://hide.co.uk/,,,"Hide does not publish an email address. Its site uses a contact form. Call 020 3146 8666 for the events team's email, or use the form at hide.co.uk/private-dining-mayfair/.",https://hide.co.uk/private-dining-mayfair/,+44 20 3146 8666,"Modern British, seasonal",1 Michelin star,"Josh Angus (Chef Director); opened by Ollie Dabbous, who left in 2025","Three floors joined by an oak spiral staircase, with views over Green Park. Ground is an all-day restaurant and Above serves the tasting menu. The wine list comes from Hedonism Wines, with over 6,500 bins.",Seasonal and vegetable-led menus that change often,https://hide.co.uk/our-menus/,"Breakfast, à la carte, vegetarian à la carte, set lunch, tasting menu and vegetarian tasting menu. Private dining packages cost £90 to £150 per head in the Hide & Seek Rooms.",£90–£150 pp (private dining),90,150,72,"Hide & Seek Rooms (12 each, 24 combined); The Piccadilly View (up to 40); Broken, Shadow and Reading Rooms in the vaults (2–8); mezzanine for semi-exclusive hire",24 (Hide & Seek combined),2,40,,Yes: Hide & Seek Rooms combined,@hide_restaurant,,,The events brochure is at hide.co.uk/wp-content/uploads/2025/02/HIDE-Events-Brochure-2025.pdf
Restaurant Story,Bermondsey / London Bridge,"199 Tooley Street, London SE1 2JX",SE1 2JX,https://restaurantstory.co.uk/,jess@restaurantstory.co.uk,dine@restaurantstory.co.uk,Jess handles private events.,https://restaurantstory.co.uk/events/ | https://restaurantstory.co.uk/contact/,+44 20 7183 2117,Modern British tasting menu,2 Michelin stars,Tom Sellers,"Tom Sellers opened his flagship in 2013. Each course of the tasting menu tells a story from his life and career, using British seasonal produce.",Bread & Dripping (a beef dripping candle that melts beside warm sourdough); Storeos; half-time oranges,https://restaurantstory.co.uk/menu/,7-course tasting menu £275 pp at lunch or dinner. 5-course lunch menu £175 pp. Drinks flight or wine list.,£175–£275 pp (food),175,275,85,"First-floor private dining room: one wooden table over the open kitchen, a balcony with Shard views and a lounge. Exclusive hire up to 32. Tue–Sat, bespoke menus.",16 (private table); 32 exclusive hire,6,32,,Up to 16 in the private room; 17–20 needs exclusive hire,@restaurantstory,,,Private events brochure: restaurantstory.co.uk/wp-content/uploads/2024/08/RESTAURANT-STORY-PRIVATE-DINING-AND-EVENTS-2024.pdf
The Clove Club,Shoreditch,"Shoreditch Town Hall, 380 Old Street, London EC1V 9LT",EC1V 9LT,https://www.thecloveclub.com/,reservations@thecloveclub.com,hello@thecloveclub.com,The FAQ asks for private events and large-group requests at reservations@.,https://www.thecloveclub.com/faq | https://www.thecloveclub.com/contact,+44 20 7729 6496,Modern British tasting menu,2 Michelin stars · World's 50 Best,Isaac McHale,"Relaxed fine dining inside the Grade II listed Shoreditch Town Hall. The tasting menu features British seafood, wild game, dairy and organic vegetables, shaped by McHale's memories and travels.",Buttermilk fried chicken with pine salt; seasonal British seafood courses,https://www.thecloveclub.com/menus,"Tasting dinner menu £285 pp (Mon, Thu–Sat). A lower Tue/Wed price was offered in 2026. Online booking takes up to 6; larger groups book by email.",£185–£285 pp (food),185,285,90,"Private event and party packages, including patio hire. Ask for room options for 15–20.",Up to 50 (unverified),,50,,Likely; confirm the space,@thecloveclub,,,Open Mon dinner and Tue–Sat lunch and dinner; closed Sunday.
Da Terra,Bethnal Green,"Town Hall Hotel, 8 Patriot Square, London E2 9NF",E2 9NF,https://www.daterra.co.uk/,booking@daterra.co.uk,booking@daterra.co.uk,The private dining page asks for buyout and Na Mesa enquiries at booking@.,https://www.daterra.co.uk/private-dining/ | https://www.daterra.co.uk/reservations/,+44 20 7062 2052,Brazilian and Italian tasting menu,2 Michelin stars,Rafael Cagali,"Rafael Cagali cooks a surprise tasting menu drawn from his Brazilian and Italian roots. The 28-seat room has an open kitchen that every table can see, inside the Grade II listed Town Hall Hotel.",Reinvented Brazilian moqueca; The Humble Chicken,https://www.daterra.co.uk/,"Surprise tasting menu of about 9 courses, around £260 pp. Shorter menu about £185 pp.",£185–£260 pp (food),185,260,80,Na Mesa private room (up to 10); full restaurant buyout (about 28),10 (Na Mesa); 28 buyout,,28,,Buyout only,@daterrarestaurant,,,"Dinner Wed–Sat, lunch Thu–Sat."
Frog by Adam Handling,Covent Garden,"34–35 Southampton Street, London WC2E 7HG",WC2E 7HG,https://www.frogbyadamhandling.com/,info@frogbyadamhandling.com,info@frogbyadamhandling.com,The site gives only info@ for events.,https://www.frogbyadamhandling.com/contact-us,+44 20 7199 8370,"Modern British tasting menu, sustainability-led",1 Michelin star,Adam Handling MBE,"The flagship of the Adam Handling group, opened in 2017. It serves technical, seasonal cooking with bold pairings and has a zero-waste approach. Eve Bar is downstairs.",Cheese doughnuts; seasonal tasting menu courses,https://www.frogbyadamhandling.com/,13-course tasting menu £199 pp with optional supplements. Shorter lunch menu £100 pp.,£100–£199 pp (food),100,199,62,The Library private room downstairs (up to 12) with its own team; exclusive hire and events,12 (The Library),,,,Exclusive or semi-private hire needed,@frogbyah,,,Closed Sunday.
Aulis London,Soho,"16 St Anne's Court, Soho, London W1F 0BF",W1F 0BF,https://www.aulis.co.uk/aulis-london,aulislondon@simonrogan.co.uk,aulislondon@simonrogan.co.uk,,https://www.aulis.co.uk/aulis-london,+44 20 3948 9665,"Modern British chef's table, farm to table",1 Michelin star,Simon Rogan; Head Chef Mark Catchpole,"A 12-seat interactive chef's table. Chefs cook and explain each course in front of guests, using produce from Simon Rogan's Our Farm in Cartmel.",Crispy chicken skin with Cornish crab and yuzu; roasted miso maitake with fermented cep; caramelised Pink Lady apple with meadowsweet,https://www.aulis.co.uk/aulis-london/menu,"One multi-course tasting menu at £195 pp, paid in advance. Wine and drinks pairings are paid on the night.",£195 pp (food),195,195,66,Exclusive hire of the whole chef's table for up to 12. No hire fee; minimum spend applies.,12,,12,,No: 12 maximum,@aulissimonrogan,,,Too small for 15–20. Consider it for a smaller leadership dinner.
Benares,Mayfair,"12a Berkeley Square House, Berkeley Square, London W1J 6BS",W1J 6BS,https://benaresrestaurant.com/,events@benaresrestaurant.co.uk,reservations@benaresrestaurant.co.uk,Emails use the .co.uk domain although the website is .com.,https://benaresrestaurant.com/private-dining-events/ | https://benaresrestaurant.com/contact/,+44 20 7629 8886,Modern Indian,1 Michelin star,Sameer Taneja,"Modern Indian fine dining with bold flavours, contrasting textures and precise, playful plating. It has four private rooms and a large lounge bar, and is a Mayfair favourite for business dinners.",Samosa Ragda Tartlet; Scallop Malabar; Hiran Boti Tikka; Lamb Chop Pulao; Benares Black Lentils,https://benaresrestaurant.com/menus/,"À la carte and tasting menu (£135 pp, paired wines £129). Set lunch from £43. Group menus include Bayleaf (£78) and Tasting (£129).",£78–£135 pp (food),78,135,70,"Chef's Table (8), Sommelier's Table (10), Berkeley Room (16), Dover Room (36)",16 (Berkeley); 36 (Dover),8,36,250 (whole venue),"Yes: Dover Room, or Berkeley Room for 16",@benaresofficial,,,Events guide: benaresrestaurant.com/wp-content/uploads/2025/10/Benares-Events-Guide-2025-WEB-1-AUGUST-TO-16-NOVEMBER-2.pdf
Muse by Tom Aikens,Belgravia,"38 Groom Place, Belgravia, London SW1X 7BA",SW1X 7BA,https://musebytomaikens.co.uk/,info@musebytomaikens.co.uk,info@musebytomaikens.co.uk,"Sebastian, the General Manager, handles events.",https://musebytomaikens.co.uk/contact/ | https://musebytomaikens.co.uk/group-dining/,+44 20 3301 2903,Modern British tasting menu,1 Michelin star,Tom Aikens,"A 23-cover mews house on two floors, each with an open kitchen. Each course of the tasting menu is named after a memory from Tom Aikens' life.","Just down the road (beetroot, ricotta, bergamot); bread course with chicken and cep butter; Forever picking",https://musebytomaikens.co.uk/menu/,"Seasonal tasting menu around £220 pp, wine pairing around £130. Groups larger than 6 get a set seasonal 3-course menu.",£220 pp (food),220,220,60,"Upstairs private room (16, plus 6 at the chef's counter); ground floor semi-private; exclusive hire of the townhouse (groups up to 25)",16 + 6 counter; 25 exclusive,6,25,,"Yes: upstairs room plus counter, or exclusive hire",@musebytomaikens,,,Sources disagree on course count and price. Ask for a group quote.
Alain Ducasse at The Dorchester,Mayfair / Park Lane,"The Dorchester, 53 Park Lane, London W1K 1QA",W1K 1QA,https://www.alainducasse-dorchester.com/,luize.mikelsone@alainducasse-dorchester.com,alainducassereservations@alainducasse-dorchester.com,"The private dining contact is a named person (Luize Mikelsone, +44 20 7319 7384), so the RFP also goes to reservations.",https://www.alainducasse-dorchester.com/private-dining/ | https://www.alainducasse-dorchester.com/contact/,+44 20 7629 8866,Contemporary French haute cuisine,3 Michelin stars,Alain Ducasse; Executive Chef Jean-Philippe Blondet,"Contemporary French haute cuisine made with the best seasonal British and French produce. The dining room was redesigned in 2020. Table Lumière sits under a curtain of 4,500 fibre optics.",Baba like in Monte-Carlo (rum baba); seasonal tasting menu,https://www.alainducasse-dorchester.com/menus/,"Lunch menu, à la carte and tasting menu. The 2026 tasting price is not published online; recent figures run about £285 pp, with collaboration menus from £300.",£135 (lunch) to £300+ pp,135,300,95,"Table Lumière (semi-private), Salon Privé (up to 12), Salon Park Lane (14 to 30, sources disagree). Menus are tailored.",Up to 30 across the private spaces,,30,,Likely: Salon Park Lane (confirm capacity),@alainducasseatthedorchester,,,Private dining brochure: alainducasse-dorchester.com/wp-content/uploads/2022/11/Alain-Ducasse-at-The-Dorchester-Brochure-Private-Dining.pdf
Hélène Darroze at The Connaught,Mayfair,"The Connaught, Carlos Place, London W1K 2AL",W1K 2AL,https://www.the-connaught.co.uk/restaurants-bars/helene-darroze-at-the-connaught/,helenedarroze@the-connaught.co.uk,helenedarroze@the-connaught.co.uk,The official page lists this address for private dining and bespoke requests.,https://www.the-connaught.co.uk/restaurants-bars/helene-darroze-at-the-connaught/,+44 20 3147 7200,"Modern French, South-West France roots",3 Michelin stars,Hélène Darroze; Executive Chef Marco Zampese,Seasonal French cooking led by produce and shaped by Darroze's South-West French roots and her travels. The Chef's Table is a pink marble table on a terrazzo dais inside the kitchen.,Isle of Mull lobster with tandoori spices; Baba with a choice of Marc Darroze Armagnacs,https://www.the-connaught.co.uk/restaurants-bars/helene-darroze-at-the-connaught/sample-menus/,"Seasonal Taste of tasting menu (about 7 courses) at lunch and dinner, with wine or alcohol-free pairings. À la carte lunch from spring 2026.",About £195+ pp (food),195,195,93,Chef's Table in the kitchen; private dining for larger parties (capacities not published). The Connaught's events team may also help.,Not published,,,,Unclear; ask,@helenedarrozeattheconnaught,,,Ask whether the hotel's events team should handle a group of 15–20.
